Time,Event,Type,Key/Position,MousePosition
Time,Event,Type,Key/Position,MousePosition
2023-04-06 16:20:49,Mouse Click,Mouse,Left,414:766
2023-04-06 16:20:50,Mouse Click,Mouse,Left,1565:588
2023-04-06 16:20:51,Mouse Click,Mouse,Left,1684:115
2023-04-06 16:20:53,Mouse Click,Mouse,Left,659:18
2023-04-06 16:20:53,Keyboard Key,Pressed,ê,0
2023-04-06 16:20:54,Mouse Click,Mouse,Left,575:303
2023-04-06 16:22:52,Mouse Click,Mouse,Left,1845:656
2023-04-06 16:22:52,Keyboard Key,Pressed,ê,0
2023-04-06 16:22:57,Mouse Click,Mouse,Left,1150:811
2023-04-06 16:23:02,Mouse Click,Mouse,Left,1268:681
2023-04-06 16:23:05,Mouse Click,Mouse,Left,1146:915
2023-04-06 16:23:09,Keyboard Key,Pressed, ( typed Control ) ,0
2023-04-06 16:23:10,Keyboard Key,Pressed,c,0
2023-04-06 16:23:10,Mouse Click,Mouse,Left,616:428
2023-04-06 16:23:10,Keyboard Key,Pressed,ê,0
2023-04-06 16:23:10,Keyboard Key,Pressed, ( typed Control ) ,0
2023-04-06 16:23:11,Mouse Click,Mouse,Left,783:589
2023-04-06 16:23:19,Mouse Click,Mouse,Left,1363:536
2023-04-06 16:23:19,Keyboard Key,Pressed,ê,0
2023-04-06 16:23:20,Mouse Click,Mouse,Left,137:532
2023-04-06 16:23:21,Keyboard Key,Pressed,ê,0
2023-04-06 16:23:21,Mouse Click,Mouse,Left,202:655
2023-04-06 16:23:25,Mouse Click,Mouse,Left,589:764
2023-04-06 16:23:28,Mouse Click,Mouse,Left,1446:590
2023-04-06 16:23:28,Keyboard Key,Pressed,ê,0
2023-04-06 16:23:29,Mouse Click,Mouse,Left,1211:750
2023-04-06 16:23:29,Mouse Click,Mouse,Left,1211:750
2023-04-06 16:23:29,Mouse Click,Mouse,Left,1211:750
2023-04-06 16:23:30,Mouse Click,Mouse,Left,1167:787
2023-04-06 16:23:30,Mouse Click,Mouse,Left,1138:779
2023-04-06 16:23:31,Mouse Click,Mouse,Left,1121:778
2023-04-06 16:23:32,Keyboard Key,Pressed, ( typed Control ) ,0
2023-04-06 16:23:32,Keyboard Key,Pressed,c,0
2023-04-06 16:23:34,Mouse Click,Mouse,Left,547:783
2023-04-06 16:23:34,Keyboard Key,Pressed,ê,0
2023-04-06 16:23:35,Mouse Click,Mouse,Left,197:599
2023-04-06 16:23:35,Mouse Click,Mouse,Left,181:657
2023-04-06 16:23:40,Mouse Click,Mouse,Left,490:788
2023-04-06 16:23:44,Mouse Click,Mouse,Left,1421:597
2023-04-06 16:23:44,Keyboard Key,Pressed,ê,0
2023-04-06 16:24:04,Mouse Click,Mouse,Left,1190:694
2023-04-06 16:24:05,Mouse Click,Mouse,Left,1140:653
2023-04-06 16:24:05,Mouse Click,Mouse,Left,1228:685
2023-04-06 16:25:53,Mouse Click,Mouse,Left,1654:103
2023-04-06 16:25:53,Mouse Click,Mouse,Left,1378:144
2023-04-06 16:25:55,Keyboard Key,Pressed,g,0
2023-04-06 16:25:56,Keyboard Key,Pressed,u,0
2023-04-06 16:25:56,Keyboard Key,Pressed, ( typed ' ) ,0
2023-04-06 16:25:56,Keyboard Key,Pressed, ( typed Space ) ,0
2023-04-06 16:25:57,Keyboard Key,Pressed, ( typed Control ) ,0
2023-04-06 16:25:57,Keyboard Key,Pressed, ( typed Control ) ,0
2023-04-06 16:25:57,Keyboard Key,Pressed,a,0
2023-04-06 16:25:58,Keyboard Key,Pressed,c,0
2023-04-06 16:25:59,Mouse Click,Mouse,Left,1368:114
2023-04-06 16:26:00,Mouse Click,Mouse,Left,1179:281
2023-04-06 16:26:01,Mouse Click,Mouse,Right,1179:281
2023-04-06 16:26:02,Mouse Click,Mouse,Left,1174:279
2023-04-06 16:26:03,Mouse Click,Mouse,Left,1179:281
2023-04-06 16:26:03,Mouse Click,Mouse,Left,1163:281
2023-04-06 16:26:04,Mouse Click,Mouse,Left,1088:224
2023-04-06 16:26:05,Mouse Click,Mouse,Left,1457:886
2023-04-06 16:26:05,Keyboard Key,Pressed, ( typed Caps Lock ) ,0
2023-04-06 16:26:06,Keyboard Key,Pressed,h,0
2023-04-06 16:26:06,Keyboard Key,Pressed, ( typed Caps Lock ) ,0
2023-04-06 16:26:06,Keyboard Key,Pressed,o,0
2023-04-06 16:26:07,Keyboard Key,Pressed,w,0
2023-04-06 16:26:07,Keyboard Key,Pressed, ( typed Space ) ,0
2023-04-06 16:26:07,Keyboard Key,Pressed,c,0
2023-04-06 16:26:07,Keyboard Key,Pressed,o,0
2023-04-06 16:26:07,Keyboard Key,Pressed,u,0
2023-04-06 16:26:07,Keyboard Key,Pressed,l,0
2023-04-06 16:26:07,Keyboard Key,Pressed,d,0
2023-04-06 16:26:07,Keyboard Key,Pressed, ( typed Space ) ,0
2023-04-06 16:26:08,Keyboard Key,Pressed, ( typed Caps Lock ) ,0
2023-04-06 16:26:08,Keyboard Key,Pressed,i,0
2023-04-06 16:26:08,Keyboard Key,Pressed, ( typed Caps Lock ) ,0
2023-04-06 16:26:08,Keyboard Key,Pressed, ( typed Space ) ,0
2023-04-06 16:26:09,Keyboard Key,Pressed,m,0
2023-04-06 16:26:09,Keyboard Key,Pressed,k,0
2023-04-06 16:26:09,Keyboard Key,Pressed,e,0
2023-04-06 16:26:09,Keyboard Key,Pressed, ( typed Backspace ) ,0
2023-04-06 16:26:09,Keyboard Key,Pressed, ( typed Backspace ) ,0
2023-04-06 16:26:09,Keyboard Key,Pressed,a,0
